Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),350,0,380,385.4616845714086,184.03639999996813,675.4815000003873,166.0,2.931160346119489,0.0,380,420,450,490,600,640,670,670,680,680,680
GET,GET /api/topic/topics,10157,0,950,1001.8509057300279,28.592700000444893,2562.4198999994405,34217.73249975387,85.06227324438757,0.0,950,1100,1200,1300,1500,1800,2300,2500,2500,2600,2600
POST,POST /api/login/signin (captcha-bypass),4959,0,38,48.500291308718225,2.3922000000311527,811.3040999996883,79.0,41.530354732590126,0.0,38,44,50,54,67,87,180,420,720,810,810
POST,POST /api/topic/create,2309,0,170,195.63775950633365,12.913500000649947,787.7979000004416,1187.381983542659,19.337283540542572,0.0,170,210,230,240,290,380,520,630,750,790,790
,Aggregated,17775,0,590,619.0127578284081,2.3922000000311527,2562.4198999994405,19732.266385372714,148.86107186363975,0.0,590,870,1000,1100,1400,1500,1900,2300,2500,2600,2600
