Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),160,0,58,127.2082556250325,5.711100000553415,906.8781999994826,166.0,1.348616456960693,0.0,58,74,90,97,150,830,900,910,910,910,910
GET,GET /api/topic/topics,6457,0,57,105.87408640235695,26.55609999965236,1972.7020999998786,34181.44153631717,54.42510289121997,0.0,57,75,92,100,160,250,850,980,2000,2000,2000
POST,POST /api/login/signin (captcha-bypass),2244,0,6,9.841430971464629,2.3765999994793674,773.7379000009241,79.0,18.914345808873723,0.0,6,8,9,10,16,29,56,79,120,770,770
POST,POST /api/topic/create,2219,0,24,46.46187823345089,12.729199999739649,989.4939000005252,1186.0022532672374,18.703624487473615,0.0,24,29,33,36,52,80,270,840,990,990,990
,Aggregated,11080,0,39,74.83442018953232,2.3765999994793674,1972.7020999998786,20175.554422382673,93.391689644528,0.0,39,54,68,80,120,190,800,920,2000,2000,2000
