Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),40,0,7,9.514077499989071,4.039100000227336,27.515800000401214,166.0,0.3365347943993452,0.0,7,9,12,13,22,23,28,28,28,28,28
GET,GET /api/topic/topics,1671,0,32,53.35454739676587,24.31369999976596,1259.775399999853,34263.50628366248,14.058741036032647,0.0,32,36,40,43,62,88,250,890,1300,1300,1300
POST,POST /api/login/signin (captcha-bypass),578,0,4,6.460018512100234,2.410899998722016,112.1372000015981,79.0,4.862927779070538,0.0,4,5,5,5,7,12,41,74,110,110,110
POST,POST /api/topic/create,564,0,16,29.054156737585917,10.898200000156066,643.8952999997127,1188.0478723404256,4.7451406010307675,0.0,16,18,20,23,32,54,170,530,640,640,640
,Aggregated,2853,0,29,38.4354878724107,2.410899998722016,1259.775399999853,20321.30389064143,24.003344210533296,0.0,29,32,34,37,50,76,150,450,1200,1300,1300
