Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),80,0,14,15.904299999965588,3.9983999995456543,54.56330000015441,166.0,0.6736013224723153,0.0,14,19,22,24,31,35,38,55,55,55,55
GET,GET /api/topic/topics,3378,0,34,43.13753993485948,23.905400001240196,529.9934000013309,34217.16341030195,28.442815841393514,0.0,34,39,43,46,61,88,140,170,270,530,530
POST,POST /api/login/signin (captcha-bypass),1155,0,4,5.316722943739261,1.8498999997973442,66.87369999963266,79.0,9.725119093194053,0.0,4,5,5,6,8,10,16,27,65,67,67
POST,POST /api/topic/create,1126,0,17,20.645471403187127,11.796900000263122,450.6578000000445,1187.3312611012434,9.480938613797838,0.0,17,19,21,22,29,39,64,85,130,450,450
,Aggregated,5739,0,30,30.733328053660838,1.8498999997973442,529.9934000013309,20391.538247081375,48.32247487085772,0.0,30,34,37,39,50,68,110,150,270,530,530
