users,requests,failures,median_ms,p95_ms,p99_ms,avg_ms,max_ms,rps,failure_pct
50,2866,0,30.0,48.0,63.0,26.60267295885082,308.19119999796385,24.166570817941526,0.0
100,5738,0,34.0,77.0,120.0,34.476085639607355,242.63190000056056,48.47212314139667,0.0
200,11092,0,57.0,330.0,720.0,101.85914481608998,930.9038999999757,93.1385155548153,0.0
500,16196,0,610.0,5100.0,6300.0,1561.9988387750147,6892.434999994293,135.7390374936864,0.0
