Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),40,0,11,13.009512499593257,5.557099997531623,30.56990000186488,166.0,1.4215744175009224,0.0,11,12,16,16,28,30,31,31,31,31,31
GET,GET /api/topic/topics,368,0,36,40.02897961936469,16.48679999925662,112.39389999536797,31648.418478260868,13.078484641008487,0.0,36,39,43,46,57,71,94,100,110,110,110
POST,POST /api/login/signin (captcha-bypass),126,0,5,5.896574602841625,2.795600004901644,27.062200002546888,79.0,4.477959415127906,0.0,5,5,6,6,10,14,16,26,27,27,27
POST,POST /api/topic/create,120,0,18,20.169416667098023,12.832000000344124,43.59349999867845,1184.3583333333333,4.264723252502767,0.0,18,20,22,23,29,34,42,42,44,44,44
,Aggregated,654,0,31,28.156488379082177,2.795600004901644,112.39389999536797,18050.970948012233,23.242741726140082,0.0,31,34,37,39,47,61,78,94,110,110,110
