Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789668313,500,,Aggregated,118.600000,0.000000,460,1100,1600,4300,5700,6300,6500,6600,6800,6900,6900,3306,0,460,1628.06138859656,3.7283999990904704,6892.434999994293,10558.964609800363
1789668314,500,,Aggregated,115.700000,0.000000,470,1100,1600,4300,5600,6300,6500,6600,6800,6900,6900,3438,0,470,1633.6424016870928,3.7283999990904704,6892.434999994293,10476.111111111111
1789668315,500,,Aggregated,118.100000,0.000000,520,1200,2800,4500,5600,6300,6500,6600,6800,6900,6900,3612,0,510,1691.7584658084836,3.7283999990904704,6892.434999994293,10842.380675526025
1789668316,500,,Aggregated,117.300000,0.000000,560,1200,3600,4500,5500,6200,6500,6600,6800,6900,6900,3753,0,560,1727.2912603251443,3.7283999990904704,6892.434999994293,11052.021849187317
1789668317,500,,Aggregated,120.500000,0.000000,600,1200,4100,4600,5400,6200,6500,6600,6800,6900,6900,3894,0,600,1746.6420213662625,3.7283999990904704,6892.434999994293,11158.163328197226
1789668318,500,,Aggregated,129.200000,0.000000,610,1200,4100,4600,5400,6200,6500,6600,6800,6900,6900,4024,0,610,1742.455656858913,3.7283999990904704,6892.434999994293,11146.697067594434
1789668319,500,,Aggregated,130.300000,0.000000,600,1200,4100,4500,5300,6200,6500,6600,6800,6900,6900,4091,0,600,1732.6902503056203,3.7283999990904704,6892.434999994293,11060.540699095576
1789668320,500,,Aggregated,131.800000,0.000000,600,1200,4000,4500,5300,6100,6500,6600,6800,6900,6900,4162,0,600,1722.4016316675472,3.7283999990904704,6892.434999994293,10920.825084094186
1789668321,500,,Aggregated,117.800000,0.000000,620,1200,3200,4500,5300,6100,6500,6600,6800,6900,6900,4302,0,620,1713.9364907718177,3.7283999990904704,6892.434999994293,10765.927940492795
1789668322,500,,Aggregated,113.700000,0.000000,640,1300,4100,4600,5400,6100,6500,6600,6800,6900,6900,4418,0,640,1749.724826278947,3.7283999990904704,6892.434999994293,10980.494567677682
1789668323,500,,Aggregated,113.400000,0.000000,660,1300,4200,4800,5400,6000,6500,6600,6800,6900,6900,4594,0,660,1781.941796343133,3.7283999990904704,6892.434999994293,11127.18720069656
1789668324,500,,Aggregated,117.400000,0.000000,680,1300,4300,4900,5400,5900,6500,6600,6800,6900,6900,4824,0,680,1832.9856946725486,3.7283999990904704,6892.434999994293,11544.936981757877
1789668325,500,,Aggregated,124.900000,0.000000,670,1300,4200,4800,5400,5800,6500,6600,6800,6900,6900,4931,0,670,1812.7836419793978,3.7283999990904704,6892.434999994293,11530.218616913406
1789668326,500,,Aggregated,137.700000,0.000000,660,1300,4100,4700,5400,5800,6500,6500,6800,6900,6900,5064,0,660,1791.1694625593225,3.7283999990904704,6892.434999994293,11555.940955766193
1789668327,500,,Aggregated,132.900000,0.000000,660,1300,4100,4600,5400,5800,6500,6500,6800,6900,6900,5179,0,660,1771.5852520371463,3.7283999990904704,6892.434999994293,11494.946900946128
1789668328,500,,Aggregated,129.800000,0.000000,650,1300,3900,4600,5400,5800,6500,6500,6800,6900,6900,5289,0,650,1758.879392002342,3.7283999990904704,6892.434999994293,11488.140858385328
1789668329,500,,Aggregated,130.400000,0.000000,660,1300,3700,4500,5400,5800,6500,6500,6800,6900,6900,5445,0,660,1759.3290811203667,3.7283999990904704,6892.434999994293,11572.18365472911
1789668330,500,,Aggregated,124.600000,0.000000,670,1400,3700,4500,5300,5800,6400,6500,6800,6900,6900,5634,0,670,1774.6044643770674,3.7283999990904704,6892.434999994293,11828.086794462193
