Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),4,0,5,5.957074999969336,4.328299997723661,8.508399994752835,166.0,1.291067134010997,0.0,6,6,9,9,9,9,9,9,9,9,9
GET,GET /api/topic/topics,6,0,33,34.40463333269387,30.354399998032022,40.21650000504451,34193.0,1.9366007010164954,0.0,35,35,36,36,40,40,40,40,40,40,40
POST,POST /api/login/signin (captcha-bypass),2,0,5,9.533399999781977,4.5882999984314665,14.478500001132488,79.0,0.6455335670054985,0.0,14,14,14,14,14,14,14,14,14,14,14
POST,POST /api/topic/create,2,0,20.491399998718407,22.152450001158286,20.491399998718407,23.813500003598165,1197.0,0.6455335670054985,0.0,24,24,24,24,24,24,24,24,24,24,24
,Aggregated,14,0,20,20.97341428556579,4.328299997723661,40.21650000504451,14883.857142857143,4.51873496903849,0.0,24,32,33,35,36,40,40,40,40,40,40
