Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),160,0,29,32.04232750013034,14.639699998951983,67.13119999767514,166.0,1.3435054533691353,0.0,29,34,37,40,52,57,65,65,67,67,67
GET,GET /api/topic/topics,6406,0,100,154.7785066187912,28.632699999434408,930.9038999999757,34236.12831720262,53.790599589266755,0.0,100,150,200,220,310,440,680,790,900,930,930
POST,POST /api/login/signin (captcha-bypass),2287,0,8,12.10748701355766,2.4956999986898154,121.51160000212258,79.0,19.203731074095078,0.0,8,12,15,17,24,32,44,52,84,120,120
POST,POST /api/topic/create,2239,0,36,47.11653671284771,12.342599999101367,318.17600000067614,1187.7047789191604,18.800679438084337,0.0,36,49,58,64,87,110,150,180,300,320,320
,Aggregated,11092,0,57,101.85914481608998,2.4956999986898154,930.9038999999757,20030.93598990263,93.1385155548153,0.0,57,91,130,150,240,330,530,720,890,930,930
