Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),40,0,7,7.924732500760001,5.587899999227375,10.750800000096206,166.0,0.3372864036000213,0.0,8,9,9,10,10,10,11,11,11,11,11
GET,GET /api/topic/topics,1704,0,34,36.62414372069982,25.998400000389665,92.2327000007499,34236.61384976526,14.368400793360907,0.0,34,37,39,41,46,52,62,68,88,92,92
POST,POST /api/login/signin (captcha-bypass),567,0,4,4.899776014184203,2.6236999983666465,24.148399999830872,79.0,4.781034771030302,0.0,4,5,5,5,7,8,10,12,24,24,24
POST,POST /api/topic/create,555,0,17,19.352355855713736,12.099599996872712,308.19119999796385,1187.1423423423423,4.679848849950296,0.0,17,19,20,21,25,28,35,43,310,310,310
,Aggregated,2866,0,30,26.60267295885082,2.6236999983666465,308.19119999796385,20603.449755757152,24.166570817941526,0.0,30,33,36,37,42,48,58,63,120,310,310
