Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories (warmup),80,0,14,17.37706750018333,8.739500000956468,38.99559999990743,166.0,0.6758051326789358,0.0,15,17,19,20,34,38,39,39,39,39,39
GET,GET /api/topic/topics,3366,0,41,48.70695329767181,26.338800002122298,242.63190000056056,34135.66042780749,28.434500957466227,0.0,41,48,53,58,73,92,110,130,230,240,240
POST,POST /api/login/signin (captcha-bypass),1150,0,5,5.78469669567826,2.3020000007818453,41.07079999812413,79.0,9.714698782259703,0.0,5,6,6,7,9,11,14,17,34,41,41
POST,POST /api/topic/create,1142,0,20,22.62137302982402,12.720300001092255,78.6459000009927,1184.6873905429072,9.64711826899181,0.0,20,23,26,27,33,40,48,58,72,79,79
,Aggregated,5738,0,34,34.476085639607355,2.3020000007818453,242.63190000056056,20278.437783199723,48.47212314139667,0.0,34,39,44,48,61,77,100,120,220,240,240
