Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /api/topic/categories,1694,0,5,5.8550336481896466,2.9961999971419573,33.927099997526966,171.0,29.056830997009968,0.0,5,6,6,6,7,10,15,17,31,34,34
GET,GET /api/user/current,508,0,5,5.527064566782127,3.120699999271892,19.903799999156035,756.0,8.71361874054372,0.0,5,5,6,6,7,7,15,17,20,20,20
POST,POST /api/login/signin (captcha-bypass),532,0,5,5.1037263158087125,2.834300001268275,21.269900003971998,74.0,9.125285767656022,0.0,5,5,5,5,6,7,13,16,21,21,21
,Aggregated,2734,0,5,5.647899853682816,2.834300001268275,33.927099997526966,260.8229700073153,46.89573550520971,0.0,5,5,6,6,7,9,15,17,22,34,34
